"","domain","freq","score","wilson_cat"
"379","latimes",1778,-0.261,"Left"
"380","law",15,-0.1377,"Center"
"381","laweekly",12,-0.4391,"Left"
"382","lawfareblog",20,-0.6433,"Left"
"383","lcsun-news",4,-0.0891,"Center"
"384","ldnews",7,0.4414,"Right"
"385","leadertelegram",1,-0.2525,"Left"
"386","ledger-enquirer",9,-0.199,"Center"
"387","lehighvalleylive",1036,0.1343,"Right"
"388","lemonde",2,-0.5317,"Left"
"389","lexisnexis",18,-0.1564,"Center"
"390","lifezette",16,0.8501,"Right"
"391","liherald",1,-0.084,"Center"
"392","livemint",16,-0.1819,"Center"
"393","ljworld",437,-0.02,"Center"
"394","lohud",33,-0.1004,"Center"
"395","longislandpress",1,-0.0461,"Center"
"396","lowellsun",6,-0.0426,"Center"
"397","lubbockonline",3,0.2126,"Right"
"398","macleans",13,-0.3833,"Left"
"399","macon",28,0.2181,"Right"
"400","madworldnews",6,0.8051,"Right"
"401","magicvalley",4,0.254,"Right"
"402","magnumphotos",32,-0.7156,"Left"
"403","mailtribune",125,-0.131,"Center"
"404","mainebiz",2,-0.2073,"Left"
"405","mainichi",10,-0.4552,"Left"
"406","marinecorpstimes",2,0.409,"Right"
"407","marketwatch",1557,0.2847,"Right"
"408","mashable",527,-0.1223,"Center"
"409","masslive",42,-0.2665,"Left"
"410","mcall",276,0.1789,"Right"
"411","mcclatchydc",47,-0.1175,"Center"
"412","mdjonline",6,0.2428,"Right"
"413","meadvilletribune",1,0.2851,"Right"
"414","mediabistro",8,-0.3085,"Left"
"415","mediaite",130,0.1359,"Right"
"416","mediamatters",62,-0.7221,"Left"
"417","mediapost",24,-0.1582,"Center"
"418","memphisflyer",1,-0.3911,"Left"
"419","mercurynews",168,-0.1167,"Center"
"420","messengernews",40,0.6028,"Right"
"421","metafilter",57,-0.7785,"Left"
"422","metro",15,-0.402,"Left"
"423","metrotimes",15,-0.5513,"Left"
"424","metrowestdailynews",7,-0.1544,"Center"
"425","miamiherald",265,-0.0444,"Center"
"426","miaminewtimes",77,-0.3212,"Left"
"427","miamitimesonline",2,-0.25,"Left"
"428","mic",152,-0.595,"Left"
"429","mid-day",2,-0.2486,"Left"
"430","middletownpress",3,-0.0745,"Center"
"431","midhudsonnews",3,-0.0026,"Center"
"432","militarytimes",51,0.2375,"Right"
"433","mintpressnews",5,-0.1743,"Center"
"434","mirror",480,0.1505,"Right"
"435","missoulian",4,-0.3516,"Left"
"436","mlive",110,-0.036,"Center"
"437","modbee",2,0.1274,"Right"
"438","montgomeryadvertiser",49,-0.1615,"Center"
"439","montgomerynews",1,-0.1564,"Center"
"440","montrealgazette",7,-0.222,"Left"
"441","morningconsult",50,0.0071,"Center"
"442","motherjones",365,-0.6966,"Left"
"443","mountainx",5,-0.3883,"Left"
"444","mpnnow",1,0.2295,"Right"
"445","mrctv",34,0.8813,"Right"
"446","msmagazine",2,-0.8201,"Left"
"447","msnbc",425,-0.6243,"Left"
"448","multichannel",10,0.0223,"Center"
"449","muskogeephoenix",18,0.5249,"Right"
"450","mycentraljersey",36,0.0879,"Center"
"451","myrecordjournal",1,0.1408,"Right"
"452","myrtlebeachonline",145,0.2184,"Right"
"453","mysanantonio",106,0.0318,"Center"
"454","napavalleyregister",22,0.1744,"Right"
"455","naplesnews",225,0.374,"Right"
"456","nashuatelegraph",1,0.2708,"Right"
"457","nashvillescene",3,-0.3931,"Left"
"458","nationalaffairs",1,0.4223,"Right"
"459","nationalgeographic",844,-0.3706,"Left"
"460","nationalinterest",65,0.2148,"Right"
"461","nationaljournal",8,-0.0941,"Center"
"462","nationalpost",39,-0.1346,"Center"
"463","nationalreview",1409,0.6361,"Right"
"464","navajotimes",1,-0.3231,"Left"
"465","navytimes",9,0.3479,"Right"
"466","nbcnews",2577,-0.1558,"Center"
"467","ncnewsonline",1,0.0974,"Right"
"468","newarkadvocate",2,0.1525,"Right"
"469","newarkpostonline",4,0.1144,"Right"
"470","newbernsj",7,-0.0538,"Center"
"471","newburyportnews",1,0.1527,"Right"
"472","newhavenindependent",3,-0.5474,"Left"
"473","newindianexpress",4,-0.0819,"Center"
"474","newjerseyhills",7,0.179,"Right"
"475","newrepublic",151,-0.641,"Left"
"476","news-gazette",14,0.1922,"Right"
"477","news-herald",9,0.3225,"Right"
"478","news-journalonline",13,0.3095,"Right"
"479","news-leader",22,0.1312,"Right"
"480","news-press",71,0.3702,"Right"
"481","news",4,-0.4855,"Left"
"482","news",179,0.0545,"Center"
"483","news",10619,-0.1244,"Center"
"484","news",4,0.1299,"Right"
"485","newsadvance",9,0.3471,"Right"
"486","newsandsentinel",2,0.4614,"Right"
"487","newsbusters",34,0.8702,"Right"
"488","newsday",48,-0.0843,"Center"
"489","newseum",24,-0.3307,"Left"
"490","newsherald",1,0.5541,"Right"
"491","newsleader",23,-0.0708,"Center"
"492","newsmax",793,0.6879,"Right"
"493","newsobserver",395,-0.1549,"Center"
"494","newsok",167,0.4456,"Right"
"495","newsone",129,-0.7838,"Left"
"496","newspapers",3295,0.2646,"Right"
"497","newspressnow",1,0.203,"Right"
"498","newsroom",10,-0.2101,"Left"
"499","newstimes",26,-0.0205,"Center"
"500","newsweek",819,-0.4096,"Left"
"501","newswire",1,-0.1763,"Center"
"502","newswire",2,0.225,"Right"
"503","newswise",2,-0.3074,"Left"
"504","newyorker",737,-0.5624,"Left"
"505","nhbr",2,0.0015,"Center"
"506","nhregister",4,-0.1452,"Center"
"507","niemanlab",4,-0.6013,"Left"
"508","nj",448,-0.1036,"Center"
"509","njherald",2,0.2805,"Right"
"510","nola",85,0.063,"Center"
"511","nonpareilonline",3,0.5956,"Right"
"512","noozhawk",3,-0.1284,"Center"
"513","normantranscript",2,0.3523,"Right"
"514","northcountrynow",23,-0.032,"Center"
"515","northjersey",66,-0.0732,"Center"
"516","norwichbulletin",2,0.1192,"Right"
"517","nowthisnews",9,0.1546,"Right"
"518","npr",3532,-0.4161,"Left"
"519","nwaonline",5,-0.0476,"Center"
"520","nwfdailynews",7,0.5121,"Right"
"521","nwherald",61,0.1991,"Right"
"522","nwitimes",165,0.0492,"Center"
"523","nydailynews",997,-0.254,"Left"
"524","nymag",612,-0.5637,"Left"
"525","nypost",2046,0.1813,"Right"
"526","nyse",5,-0.1163,"Center"
"527","nytimes",11972,-0.2602,"Left"
"528","oann",30,0.8644,"Right"
"529","oanow",14,0.2322,"Right"
"530","observer",77,-0.1827,"Center"
"531","ocala",6,0.248,"Right"
"532","ocregister",54,0.2067,"Right"
"533","ocweekly",6,-0.4071,"Left"
"534","ohio",5,-0.0189,"Center"
"535","oleantimesherald",2,0.1677,"Right"
"536","omaha",112,0.4046,"Right"
"537","oneidadispatch",1,-0.2601,"Left"
"538","onlineathens",10,0.1399,"Right"
"539","onwardstate",3,0.265,"Right"
"540","opendemocracy",4,-0.6732,"Left"
"541","oregonlive",235,-0.2834,"Left"
"542","orlandosentinel",179,0.1924,"Right"
"543","orlandoweekly",53,-0.295,"Left"
"544","outbrain",160,0.0206,"Center"
"545","ozy",32,-0.3969,"Left"
"546","palmbeachdailynews",1,-0.3543,"Left"
"547","palmbeachpost",29,0.0766,"Center"
"548","palmerreport",70,-0.7334,"Left"
"549","paloaltoonline",1,-0.2732,"Left"
"550","pamplinmedia",3,-0.0585,"Center"
"551","pantagraph",13,-0.0395,"Center"
"552","parade",278,0.1143,"Right"
"553","patch",1402,0.0187,"Center"
"554","pbn",1,-0.4213,"Left"
"555","pbs",640,-0.4077,"Left"
"556","pe",23,0.0317,"Center"
"557","pennlive",381,0.1539,"Right"
"558","people-press",13,-0.3363,"Left"
"559","pewresearch",131,-0.3082,"Left"
"560","pghcitypaper",1,-0.635,"Left"
"561","philadelphiaweekly",1,-0.5648,"Left"
"562","philly",191,-0.1823,"Center"
"563","phoenixnewtimes",17,-0.4061,"Left"
"564","phys",72,-0.2064,"Left"
"565","pilotonline",179,-0.0529,"Center"
"566","pjmedia",73,0.8157,"Right"
"567","pjstar",31,0.045,"Center"
"568","pnj",39,0.4635,"Right"
"569","poconorecord",4,0.2132,"Right"
"570","politico",1340,-0.1914,"Center"
"571","politicususa",54,-0.7081,"Left"
"572","politifact",327,-0.4209,"Left"
"573","poll",44,-0.7373,"Left"
"574","portlandmercury",16,-0.8211,"Left"
"575","post-gazette",58,-0.0408,"Center"
"576","postandcourier",52,-0.2406,"Left"
"577","postbulletin",7,0.1734,"Right"
"578","postcrescent",3,-0.013,"Center"
"579","poststar",4,0.2347,"Right"
"580","pottsmerc",1,0.0824,"Center"
"581","poughkeepsiejournal",2,-0.0314,"Center"
"582","poynter",46,-0.5139,"Left"
"583","press-citizen",4,-0.0038,"Center"
"584","pressconnects",7,-0.0097,"Center"
"585","pressdemocrat",97,-0.1405,"Center"
"586","pressherald",60,-0.4097,"Left"
