"person_id","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","page_center_w1","page_left_w1","page_right_w1","page_center_w2","page_left_w2","page_right_w2","domain_center_w1","domain_left_w1","domain_right_w1","domain_center_w2","domain_left_w2","domain_right_w2","page_center_mean_w1","page_left_mean_w1","page_right_mean_w1","page_center_mean_w2","page_left_mean_w2","page_right_mean_w2","domain_center_mean_w1","domain_left_mean_w1","domain_right_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2","page_center_perc_w1","page_left_perc_w1","page_right_perc_w1","page_center_perc_w2","page_left_perc_w2","page_right_perc_w2","domain_center_perc_w1","domain_left_perc_w1","domain_right_perc_w1","domain_center_perc_w2","domain_left_perc_w2","domain_right_perc_w2"
"12-hungry-mussles-sat-loudly",39194,90,91,1714,26946,90,90,1275,182,2243,24,191,1899,34,182,2264,24,191,1900,34,2,24.6483516483516,0.263736263736264,2.12222222222222,21.1,0.377777777777778,2,24.8791208791209,0.263736263736264,2.12222222222222,21.1111111111111,0.377777777777778,0.00464356789304485,0.0572281471653825,0.000612338623258662,0.00708825057522452,0.0704742818971276,0.00126178282490908,0.00464356789304485,0.0577639434607338,0.000612338623258662,0.00708825057522452,0.0705113931566837,0.00126178282490908
"13-able-clams-played-fast",11841,43,43,754,17573,90,85,944,16,3,6,29,7,24,16,3,6,52,7,25,0.372093023255814,0.0697674418604651,0.13953488372093,0.341176470588235,0.0823529411764706,0.282352941176471,0.372093023255814,0.0697674418604651,0.13953488372093,0.611764705882353,0.0823529411764706,0.294117647058824,0.00135123722658559,0.000253356979984799,0.000506713959969597,0.00165025891993399,0.000398338359984066,0.00136573151994537,0.00135123722658559,0.000253356979984799,0.000506713959969597,0.00295908495988164,0.000398338359984066,0.00142263699994309
"13-cloudy-snails-whimpered-correctly",9690,91,88,461,7378,85,84,395,41,6,20,24,15,12,143,6,23,68,15,46,0.465909090909091,0.0681818181818182,0.227272727272727,0.285714285714286,0.178571428571429,0.142857142857143,1.625,0.0681818181818182,0.261363636363636,0.80952380952381,0.178571428571429,0.547619047619048,0.0042311661506708,0.000619195046439629,0.00206398348813209,0.00325291406885335,0.00203307129303334,0.00162645703442667,0.0147574819401445,0.000619195046439629,0.00237358101135191,0.00921658986175115,0.00203307129303334,0.00623475196530225
"13-cute-horses-kissed-fast",24569,91,80,932,10720,83,44,549,22,24,2,13,9,0,22,24,2,13,10,0,0.275,0.3,0.025,0.295454545454545,0.204545454545455,0,0.275,0.3,0.025,0.295454545454545,0.227272727272727,0,0.000895437339737067,0.000976840734258619,8.14033945215515e-05,0.00121268656716418,0.00083955223880597,0,0.000895437339737067,0.000976840734258619,8.14033945215515e-05,0.00121268656716418,0.000932835820895522,0
"13-dangerous-moles-hugged-carefully",16399,90,90,585,12856,91,86,506,396,30,187,285,29,2,397,34,187,582,30,2,4.4,0.333333333333333,2.07777777777778,3.31395348837209,0.337209302325581,0.0232558139534884,4.41111111111111,0.377777777777778,2.07777777777778,6.76744186046512,0.348837209302326,0.0232558139534884,0.0241478138910909,0.00182937984023416,0.0114031343374596,0.0221686372121966,0.00225575606720597,0.00015556938394524,0.0242087932190987,0.00207329715226538,0.0114031343374596,0.0452706907280647,0.00233354075917859,0.00015556938394524
"13-dark-newts-ran-quickly",5384,32,32,323,2490,11,12,152,102,398,0,21,152,3,153,619,0,59,242,3,3.1875,12.4375,0,1.75,12.6666666666667,0.25,4.78125,19.34375,0,4.91666666666667,20.1666666666667,0.25,0.0189450222882615,0.0739227340267459,0,0.00843373493975904,0.0610441767068273,0.00120481927710843,0.0284175334323923,0.114970282317979,0,0.0236947791164659,0.0971887550200803,0.00120481927710843
"13-fat-badgers-ran-quietly",2702,84,64,101,2133,90,54,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-free-squirrels-cuddled-easily",12905,91,84,973,17205,89,85,1300,69,5,2,11,1,2,79,7,2,15,2,2,0.821428571428571,0.0595238095238095,0.0238095238095238,0.129411764705882,0.0117647058823529,0.0235294117647059,0.94047619047619,0.0833333333333333,0.0238095238095238,0.176470588235294,0.0235294117647059,0.0235294117647059,0.00534676481983727,0.000387446726075165,0.000154978690430066,0.000639349026445801,5.81226387678001e-05,0.0001162452775356,0.0061216582719876,0.000542425416505231,0.000154978690430066,0.000871839581517001,0.0001162452775356,0.0001162452775356
"13-happy-guinea-pigs-loitered-carefully",9735,90,62,841,5504,86,39,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-tidy-bats-knitted-quietly",13069,90,85,908,4481,76,75,333,354,95,4,113,16,7,377,104,4,141,25,8,4.16470588235294,1.11764705882353,0.0470588235294118,1.50666666666667,0.213333333333333,0.0933333333333333,4.43529411764706,1.22352941176471,0.0470588235294118,1.88,0.333333333333333,0.106666666666667,0.0270869997704492,0.0072691101078889,0.000306067794016375,0.0252175853604106,0.00357063155545637,0.00156215130551216,0.0288468895860433,0.00795776264442574,0.000306067794016375,0.0314661905824593,0.00557911180540058,0.00178531577772819
